log目录,policy,在线测试任务信息,数据块信息,历史任务信息,Online job num,Max-min Ratio,change_job_epsilon_max_times,Offline history job num,Beta,Datablock num,Offline datablock num,change_datablock_epsilon_max_times,Target Run Time,Success num,Failed num,Mean Significance (ALL),Mean Significance (Success),Success Datablock Num,Failed Datablock Num,Target Datablock Num,Run Time
schedule-review-simulation-05-15-20-16-44,HISwithOrderProVersionPolicy(0),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,306.0(292-313),694.0(687-708),1.9443839267418022(1.9325450579533794-1.9540556480532767),6.358597083189913(6.174265360873417-6.677638264846024),2904.6(2881-2927),10823.4(10801-10847),13728.0(13728-13728),5
schedule-review-simulation-05-11-21-28-01,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,566.0(566-566),434.0(434-434),5.603705670466188(5.603705670466188-5.603705670466188),9.900540053827187(9.900540053827187-9.900540053827187),9001.0(9001-9001),4727.0(4727-4727),13728.0(13728-13728),5
schedule-review-simulation-05-15-15-14-31,HISwithOrderProVersionPolicy(1000),schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,1000,0,100,100,1,5,146.6(141-151),853.4(849-859),1.6349157338627052(1.6279008068647536-1.6441326924308404),11.160677112736138(10.795350943335416-11.660515549154896),2236.4(2225-2255),11491.6(11473-11503),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-18-14,HISwithOrderProVersionPolicy(800),schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,800,0,100,100,1,5,143.6(140-149),856.4(851-860),1.63872177734375(1.6290896116162903-1.6470253586065569),11.417608057248463(10.933487326283828-11.764466847189691),2244.8(2226-2260),11483.2(11468-11502),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-20-09,HISwithOrderProVersionPolicy(600),schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,600,0,100,100,1,5,146.6(144-149),853.4(851-856),1.6465884845671106(1.6448409884093236-1.6470253586065575),11.233423412597695(11.053861467158104-11.437676101434427),2252.8(2251-2256),11475.2(11472-11477),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-20-45,HISwithOrderProVersionPolicy(400),schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,400,0,100,100,1,5,166.6(162-173),833.4(827-838),1.6350209224513315(1.6336299068263316-1.6371723312628066),9.822501102404043(9.445547548682834-10.098846614662392),2212.8(2205-2219),11515.2(11509-11523),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-21-17,HISwithOrderProVersionPolicy(200),schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,200,0,100,100,1,5,200.0(197-205),800.0(795-803),1.4559721999871922(1.4469936523437503-1.4679638191598359),7.281323219858559(7.076999356507395-7.399729736714128),1980.4(1966-1998),11747.6(11730-11762),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-21-57,HISwithOrderProVersionPolicy(0),schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,0,0,100,100,1,5,102.2(97-104),897.8(896-903),0.4782058609759222(0.4709351946721312-0.48852808817879106),4.682674897125811(4.528223025693569-4.9118085006654555),690.8(677-702),13037.2(13026-13051),13728.0(13728-13728),5
schedule-review-simulation-05-11-21-47-21,OfflinePolicy,schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,0,0,100,100,1,5,105.0(105-105),895.0(895-895),1.6470253586065569(1.6470253586065569-1.6470253586065569),15.685955796252923(15.685955796252923-15.685955796252923),3580.0(3580-3580),10148.0(10148-10148),13728.0(13728-13728),5
schedule-review-simulation-05-15-15-16-58,HISwithOrderProVersionPolicy(1000),schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,1000,0,100,100,1,5,79.4(78-84),920.6(916-922),0.9284488665471313(0.9135058273565577-0.9419868003970289),11.700645593190563(11.214128576155106-12.01725609335593),1273.4(1253-1289),12454.6(12439-12475),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-24-33,HISwithOrderProVersionPolicy(800),schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,800,0,100,100,1,5,80.4(78-82),919.6(918-922),0.9379231045081966(0.9220557280993846-0.9498342085040983),11.669050571834122(11.244582049992495-11.907204498509092),1286.2(1262-1303),12441.8(12425-12466),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-25-09,HISwithOrderProVersionPolicy(600),schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,600,0,100,100,1,5,80.0(77-82),920.0(918-923),0.9411501520876024(0.9331433065445697-0.9504075867699798),11.76964398489498(11.37979642127524-12.199951119897005),1289.8(1277-1304),12438.2(12424-12451),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-25-47,HISwithOrderProVersionPolicy(400),schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,400,0,100,100,1,5,93.2(89-96),906.8(904-911),0.9545350489882172(0.9498905609631144-0.9583166623975409),10.253548942759922(9.894693343365775-10.762948761857615),1297.6(1288-1307),12430.4(12421-12440),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-26-20,HISwithOrderProVersionPolicy(200),schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,200,0,100,100,1,5,98.6(94-102),901.4(898-906),0.9426023885758192(0.9412540823514342-0.9441425861296104),9.569130372334874(9.256299864015789-10.030458309943969),1271.8(1269-1277),12456.2(12451-12459),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-26-56,HISwithOrderProVersionPolicy(0),schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,0,0,100,100,1,5,79.2(74-83),920.8(917-926),0.32939883452868857(0.3186899974385247-0.3386639584400616),4.162096999721782(4.080288655904357-4.306621587007091),494.4(482-506),13233.6(13222-13246),13728.0(13728-13728),5
schedule-review-simulation-05-11-21-48-11,OfflinePolicy,schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,0,0,100,100,1,5,67.0(67-67),933.0(933-933),0.9607647925204914(0.9607647925204914-0.9607647925204914),14.339773022693901(14.339773022693901-14.339773022693901),2455.0(2455-2455),11273.0(11273-11273),13728.0(13728-13728),5
schedule-review-simulation-05-15-15-17-48,HISwithOrderProVersionPolicy(1000),schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,1000,0,100,100,1,5,77.0(76-78),923.0(922-924),0.646799755058914(0.6295731781506146-0.6582287637679302),8.40081816237743(8.176275040917075-8.660904786420133),865.6(839-883),12862.4(12845-12889),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-28-45,HISwithOrderProVersionPolicy(800),schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,800,0,100,100,1,5,78.0(76-80),922.0(920-924),0.6578456102715164(0.6493384349385247-0.6658609118852459),8.436758774505007(8.219473859981326-8.647544310197999),880.6(867-893),12847.4(12835-12861),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-39-39,HISwithOrderProVersionPolicy(600),schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,600,0,100,100,1,5,76.0(74-78),924.0(922-926),0.660878662909836(0.6555412877817623-0.6677993404200816),8.698272925047169(8.55268083766899-8.877083226605196),885.2(877-894),12842.8(12834-12851),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-40-15,HISwithOrderProVersionPolicy(400),schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,400,0,100,100,1,5,73.8(71-77),926.2(923-929),0.6639661164830944(0.6594139584400616-0.6675502529456968),9.006655537379432(8.563817642078723-9.364523881248564),891.0(881-897),12837.0(12831-12847),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-40-41,HISwithOrderProVersionPolicy(200),schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,200,0,100,100,1,5,69.2(67-71),930.8(929-933),0.6495474417264344(0.6486858190317625-0.6508252913678279),9.393171971937065(9.136419986362851-9.69266715538598),875.0(872-877),12853.0(12851-12856),13728.0(13728-13728),5
schedule-review-simulation-05-15-20-41-08,HISwithOrderProVersionPolicy(0),schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,0,0,100,100,1,5,81.0(77-84),919.0(916-923),0.27866694095799194(0.2657420594262295-0.2879639312243853),3.4445917067080067(3.201711559352163-3.5926237408851405),374.8(350-388),13353.2(13340-13378),13728.0(13728-13728),5
schedule-review-simulation-05-11-21-49-10,OfflinePolicy,schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,0,0,100,100,1,5,46.0(46-46),954.0(954-954),0.6575229572233607(0.6575229572233607-0.6575229572233607),14.293977330942626(14.293977330942626-14.293977330942626),1565.0(1565-1565),12163.0(12163-12163),13728.0(13728-13728),5
