log目录,policy,在线测试任务信息,数据块信息,历史任务信息,Online job num,Max-min Ratio,change_job_epsilon_max_times,Offline history job num,Beta,Datablock num,Offline datablock num,change_datablock_epsilon_max_times,Success num,Failed num,Mean Significance (ALL),Mean Significance (Success),Success Datablock Num,Failed Datablock Num,Target Datablock Num
schedule-review-simulation-05-09-23-11-03,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,514.2(498-533),485.8(467-502),4.0072474913550185(3.9148114674052246-4.095390809106044),7.794947211014183(7.683660054607961-7.861067203624948),5545.0(5428-5682),8183.0(8046-8300),13728.0(13728-13728)
schedule-review-simulation-05-15-15-11-06,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,1000,0,100,100,1,593.0(590-598),407.0(402-410),5.276156813524589(5.259506779905223-5.303758572938009),8.897642148482532(8.807941548244838-8.989421310064422),7417.6(7391-7457),6310.4(6271-6337),13728.0(13728-13728)
schedule-review-simulation-05-14-12-06-38,PBGPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,397.2(394-399),602.8(601-606),2.5705919745773564(2.5664774510117856-2.574759101242313),6.4719296631768035(6.432274313312745-6.530372601217284),3910.6(3904-3918),9817.4(9810-9824),13728.0(13728-13728)
schedule-review-simulation-05-11-16-41-54,PBGMixPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,403.6(402-406),596.4(594-598),2.6091373891570937(2.592330415854619-2.6213295399248233),6.464792662663785(6.385050285356205-6.496236838540655),4011.8(3995-4028),9716.2(9700-9733),13728.0(13728-13728)
schedule-review-simulation-05-11-16-44-17,SagewithRemainPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,395.8(392-397),604.2(603-608),2.5769701524077875(2.5693710137038925-2.5836073418288956),6.510949555857718(6.471967288926681-6.575247791707614),3920.8(3912-3928),9807.2(9800-9816),13728.0(13728-13728)
schedule-review-simulation-05-11-16-45-16,BestFitwithRemainPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,383.0(383-383),617.0(617-617),2.6449389968621935(2.6449389968621935-2.6449389968621935),6.905845944809906(6.905845944809905-6.905845944809905),4020.0(4020-4020),9708.0(9708-9708),13728.0(13728-13728)
schedule-review-simulation-05-11-21-28-01,OfflinePolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,566.0(566-566),434.0(434-434),5.603705670466188(5.603705670466188-5.603705670466188),9.900540053827187(9.900540053827187-9.900540053827187),9001.0(9001-9001),4727.0(4727-4727),13728.0(13728-13728)
schedule-review-simulation-05-09-23-25-58,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,0,0,100,100,1,184.8(177-192),815.2(808-823),1.3440008500896514(1.3332290519339134-1.3518616563140367),7.280309843353488(7.018991881732253-7.55229975594434),1817.2(1803-1838),11910.8(11890-11925),13728.0(13728-13728)
schedule-review-simulation-05-15-15-14-31,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,1000,0,100,100,1,146.6(141-151),853.4(849-859),1.6349157338627052(1.6279008068647536-1.6441326924308404),11.160677112736138(10.795350943335416-11.660515549154896),2236.4(2225-2255),11491.6(11473-11503),13728.0(13728-13728)
schedule-review-simulation-05-11-16-46-23,PBGPolicy,schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,0,0,100,100,1,101.2(101-102),898.8(898-899),0.5913690013447745(0.5861878762167008-0.5966650470671104),5.84355514732611(5.803840358581195-5.858711568358422),881.6(871-890),12846.4(12838-12857),13728.0(13728-13728)
schedule-review-simulation-05-11-16-47-14,PBGMixPolicy,schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,0,0,100,100,1,92.8(92-95),907.2(905-908),0.5481026700619986(0.539843963042452-0.550842768001118),5.906996108051895(5.7907000299936024-5.98433770972705),865.4(851-874),12862.6(12854-12877),13728.0(13728-13728)
schedule-review-simulation-05-11-16-47-49,SagewithRemainPolicy,schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,0,0,100,100,1,101.0(99-103),899.0(897-901),0.5948980196593239(0.58916736039959-0.6068862224641397),5.890482512159528(5.83872350077605-5.975337147732446),879.4(871-897),12848.6(12831-12857),13728.0(13728-13728)
schedule-review-simulation-05-11-16-48-48,BestFitwithRemainPolicy,schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,0,0,100,100,1,125.0(125-125),875.0(875-875),0.7038310706967215(0.7038310706967215-0.7038310706967215),5.630648565573772(5.630648565573772-5.630648565573772),1015.0(1015-1015),12713.0(12713-12713),13728.0(13728-13728)
schedule-review-simulation-05-11-21-47-21,OfflinePolicy,schedule-review-simulation-05-09-22-05-55,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-05-55,1000,0.4,1,0,0,100,100,1,105.0(105-105),895.0(895-895),1.6470253586065569(1.6470253586065569-1.6470253586065569),15.685955796252923(15.685955796252923-15.685955796252923),3580.0(3580-3580),10148.0(10148-10148),13728.0(13728-13728)
schedule-review-simulation-05-09-23-26-45,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,0,0,100,100,1,109.4(105-116),890.6(884-895),0.7702486360143442(0.7604422947617826-0.7793205286244878),7.053369790639502(6.555537023808471-7.372694824599922),1008.4(988-1024),12719.6(12704-12740),13728.0(13728-13728)
schedule-review-simulation-05-15-15-16-58,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,1000,0,100,100,1,79.4(78-84),920.6(916-922),0.9284488665471313(0.9135058273565577-0.9419868003970289),11.700645593190563(11.214128576155106-12.01725609335593),1273.4(1253-1289),12454.6(12439-12475),13728.0(13728-13728)
schedule-review-simulation-05-11-16-49-48,PBGPolicy,schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,0,0,100,100,1,63.0(61-64),937.0(936-939),0.3477872294441598(0.3410369572873974-0.35417951940317616),5.520821357042587(5.464675653176232-5.590769791596679),521.8(511-532),13206.2(13196-13217),13728.0(13728-13728)
schedule-review-simulation-05-11-16-50-21,PBGMixPolicy,schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,0,0,100,100,1,68.2(68-69),931.8(931-932),0.3699553938818723(0.36654634530219316-0.3726678382830808),5.424896186868873(5.3122658739448285-5.480409386515895),572.2(563-578),13155.8(13150-13165),13728.0(13728-13728)
schedule-review-simulation-05-11-16-51-00,SagewithRemainPolicy,schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,0,0,100,100,1,62.4(60-64),937.6(936-940),0.3444392161885245(0.3379410860655737-0.3501582911757173),5.522127300647753(5.391493625328189-5.647714373801892),507.0(500-514),13221.0(13214-13228),13728.0(13728-13728)
schedule-review-simulation-05-11-16-54-45,BestFitwithRemainPolicy,schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,0,0,100,100,1,67.0(67-67),933.0(933-933),0.4106533123078894(0.4106533123078894-0.4106533123078894),6.129153915043125(6.129153915043125-6.129153915043125),579.0(579-579),13149.0(13149-13149),13728.0(13728-13728)
schedule-review-simulation-05-11-21-48-11,OfflinePolicy,schedule-review-simulation-05-09-22-07-59,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-07-59,1000,0.7,1,0,0,100,100,1,67.0(67-67),933.0(933-933),0.9607647925204914(0.9607647925204914-0.9607647925204914),14.339773022693901(14.339773022693901-14.339773022693901),2455.0(2455-2455),11273.0(11273-11273),13728.0(13728-13728)
schedule-review-simulation-05-09-23-27-35,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,0,0,100,100,1,88.4(83-91),911.6(909-917),0.5497186379354507(0.5441249679815574-0.5540969598488729),6.223855593752441(6.088977580756845-6.5557225058018975),714.4(708-719),13013.6(13009-13020),13728.0(13728-13728)
schedule-review-simulation-05-15-15-17-48,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,1000,0,100,100,1,77.0(76-78),923.0(922-924),0.646799755058914(0.6295731781506146-0.6582287637679302),8.40081816237743(8.176275040917075-8.660904786420133),865.6(839-883),12862.4(12845-12889),13728.0(13728-13728)
schedule-review-simulation-05-11-16-57-53,PBGPolicy,schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,0,0,100,100,1,53.4(52-56),946.6(944-948),0.25866592437243857(0.25304350505891393-0.2699498351050205),4.8442801690721815(4.788528305511522-4.903205680434195),393.0(376-425),13335.0(13303-13352),13728.0(13728-13728)
schedule-review-simulation-05-11-17-00-09,PBGMixPolicy,schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,0,0,100,100,1,53.6(52-54),946.4(946-948),0.24676306085712843(0.2441741870199009-0.2496517007338622),4.604468959892678(4.540719595933533-4.695657442690402),377.8(371-384),13350.2(13344-13357),13728.0(13728-13728)
schedule-review-simulation-05-11-17-04-13,SagewithRemainPolicy,schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,0,0,100,100,1,49.4(49-50),950.6(950-951),0.23938408523309426(0.23780176581711066-0.24162427158043037),4.846325993486533(4.782280993852458-4.931107583274089),323.2(319-332),13404.8(13396-13409),13728.0(13728-13728)
schedule-review-simulation-05-11-17-05-25,BestFitwithRemainPolicy,schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,0,0,100,100,1,50.0(50-50),950.0(950-950),0.2838307104892418(0.2838307104892418-0.2838307104892418),5.676614209784836(5.676614209784836-5.676614209784836),409.0(409-409),13319.0(13319-13319),13728.0(13728-13728)
schedule-review-simulation-05-11-21-49-10,OfflinePolicy,schedule-review-simulation-05-09-22-09-35,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-22-09-35,1000,1.0,1,0,0,100,100,1,46.0(46-46),954.0(954-954),0.6575229572233607(0.6575229572233607-0.6575229572233607),14.293977330942626(14.293977330942626-14.293977330942626),1565.0(1565-1565),12163.0(12163-12163),13728.0(13728-13728)
